Parameter,Value
LoadedFluxLinkageQ_mWb,0.6531130960167185
PhaseSelfInductanceLself_uH,
PhaseMutualInductanceLmutual_uH,
VolumeMagnet_m3,6.299821817649275e-07
VolumeX_m3,0.0
VolumeRotorBackiron_m3,3.501874835438907e-05
VolumeTooth_m3,1.6595650037561029e-06
VolumeCopperInclFillFactor_m3,7.709260182600848e-07
VolumePoleShoe_m3,0.0
VolumeStatorBackiron_m3,1.3520608851627577e-05
MassMagnet_Kg,0.004756365472325147
MassX_Kg,0.0
MassRotorBackiron_Kg,0.2748971745819513
MassTooth_Kg,0.012944607029297617
MassCopperInclFillFactor_Kg,0.0069074971236107174
MassPoleShoe_Kg,0.0
MassStatorBackiron_Kg,0.10546074904269442
MassMagnetPerMachine_Kg,0.09512730944650294
MassXPerMachine_Kg,0.0
MassRotorBackironPerMachine_Kg,0.2748971745819513
MassToothPerMachine_Kg,0.3106705687031428
MassCopperInclFillFactorPerMachine_Kg,0.16577993096665722
MassPoleShoePerMachine_Kg,0.0
MassStatorBackironPerMachine_Kg,0.10546074904269442
MassMinRotorPerMachine_Kg,
MassMinStatorPerMachine_Kg,
MassMaxRotorPerMachine_Kg,
MassMaxStatorPerMachine_Kg,
MassMachine_Kg,0.9519357327409487
MomentOfInertiaRotor_KgM2,0.00046915313672056373
ResistanceCoil_Ohm,8.22806805506861e-05
ResistanceSinglePhase_Ohm,
ResistanceMachinePhase_Ohm,0.0006582454444054888
AirgapTangentialForceAverage_N,-164.41493368645442
AirgapAxialForceAverage_N,881.4354192164709
AirgapRadialForceAverage_N,-23.608048134091778
AirgapShearStress_Pa,34305.57216797675
MagnetAxialForcePositiveMaximum_N,21.721412134189976
MagnetAxialForcePositiveMinimum_N,0.03056314215520639
MagnetAxialForceNegativeMaximum_N,-16.32298682972516
MagnetAxialForceNegativeMinimum_N,-0.009987182615960988
MagnetRadialForcePositiveMaximum_N,47.338956623520865
MagnetRadialForceNegativeMaximum_N,-32.795813163148004
MagnetTangentialForceMaximum_N,40.435631057580835
MagnetForceElecFrequency_Hz,1000.0
MagnetForceMechFrequency_Hz,100.0
OutputMinCoreWidth_mm,2.286
DAxisAlignmentAngle_Deg,70.65542376744234
PermanentMagnetFluxLinkageNoLoadMin_mWb,1.4070647531472378
PermanentMagnetFluxLinkageNoLoadMax_mWb,1.483128270142735
PermanentMagnetFluxLinkageNoLoadAvg_mWb,1.4450965116449863
TotalMachineCost_USD,
RotationalFrequencyElec_Hz,500.0
RotationalFrequencyMech_Hz,50.0
ShortCircuitPeakTorque_Nm,17.06801563249979
ShortCircuitPeakId_A,1416.791590777494
ShortCircuitPeakIq_A,775.0953671867862
ShortCircuitAvgId_A,-824.6408782730701
ShortCircuitAvgIq_A,-98.11773276763819
ShortCircuitAvgIActive_A,830.4575073413827
ShortCircuitRmsIa_Arms,587.3739583946409
ShortCircuitRmsIb_Arms,586.6216005397362
ShortCircuitRmsIc_Arms,587.6703481823139
ShortCircuitDemagId_A,-1416.791590777494
ShortCircuitDemagIq_A,-166.18200500461236
ShortCircuitDemagIActive_A,1426.5044235771495
ShortCircuitDemagIActiveDensityRMS_A_per_m2,80043974.9079284
ShortCircuitDemagThetaE_deg,96.68991736534105
ASCAverageTorque_Nm,
ASCAverageLoadedFluxLinkageD_Wb,
ASCAverageLoadedFluxLinkageQ_Wb,
ASCTorqueReduction_Percent,
ASCLoadedFluxLinkageDReduction_Percent,
ASCLoadedFluxLinkageQReduction_Percent,
ASCAirgapAxialForceAverage_N,
ASCMagnetAxialForcePositiveMaximum_N,
ASCMagnetAxialForcePositiveMinimum_N,
ASCMagnetAxialForceNegativeMaximum_N,
ASCMagnetAxialForceNegativeMinimum_N,
ASCMagnetRadialForcePositiveMaximum_N,
ASCMagnetRadialForceNegativeMaximum_N,
ASCMagnetTangentialForceMaximum_N,
