Parameter,Value
PermanentMagnetFluxLinkageLoad_mWb,0.3408202417175754
PermanentMagnetFluxLinkageLoadQ_mWb,-0.03349363117823182
LoadedFluxLinkageD_mWb,0.3369812575025607
LoadedFluxLinkageQ_mWb,0.1723366645117527
PhaseSelfInductanceLself_uH,
PhaseMutualInductanceLmutual_uH,
VolumeMagnet_m3,1.2518718814080143e-07
VolumeX_m3,0.0
VolumeRotorBackiron_m3,4.074588726020001e-06
VolumeTooth_m3,4.5399541065583076e-07
VolumeCopperInclFillFactor_m3,3.649977376339757e-07
VolumePoleShoe_m3,0.0
VolumeStatorBackiron_m3,2.9681512459666483e-06
MassMagnet_Kg,0.0009451632704630408
MassX_Kg,0.0
MassRotorBackiron_Kg,0.03202626738651713
MassTooth_Kg,0.0035411642031154297
MassCopperInclFillFactor_Kg,0.0032703797292001906
MassPoleShoe_Kg,0.0
MassStatorBackiron_Kg,0.023151579718539535
MassMagnetPerMachine_Kg,0.02457424503203906
MassXPerMachine_Kg,0.0
MassRotorBackironPerMachine_Kg,0.03202626738651713
MassToothPerMachine_Kg,0.08498794087477031
MassCopperInclFillFactorPerMachine_Kg,0.07848911350080458
MassPoleShoePerMachine_Kg,0.0
MassStatorBackironPerMachine_Kg,0.023151579718539535
MassMinRotorPerMachine_Kg,
MassMinStatorPerMachine_Kg,
MassMaxRotorPerMachine_Kg,
MassMaxStatorPerMachine_Kg,
MassMachine_Kg,0.2432291465126706
MomentOfInertiaRotor_KgM2,4.49284901056707e-05
ResistanceCoil_Ohm,4.524443915313383e-05
ResistanceSinglePhase_Ohm,
ResistanceMachinePhase_Ohm,0.00036195551322507064
AirgapTangentialForceAverage_N,-60.654568476947
AirgapAxialForceAverage_N,260.3110825448437
AirgapRadialForceAverage_N,-5.5753362641774205
AirgapShearStress_Pa,37325.48217547857
MagnetAxialForcePositiveMaximum_N,0
MagnetAxialForcePositiveMinimum_N,0
MagnetAxialForceNegativeMaximum_N,-20.280805349915354
MagnetAxialForceNegativeMinimum_N,-4.538533847882
MagnetRadialForcePositiveMaximum_N,9.483842963440088
MagnetRadialForceNegativeMaximum_N,-9.708266152747235
MagnetTangentialForceMaximum_N,12.104724585127233
MagnetForceElecFrequency_Hz,1083.3333333333333
MagnetForceMechFrequency_Hz,83.33333333333333
OutputMinCoreWidth_mm,2.551
DAxisAlignmentAngle_Deg,48.23749453837471
PermanentMagnetFluxLinkageNoLoadMin_mWb,0.345287145287685
PermanentMagnetFluxLinkageNoLoadMax_mWb,0.3402550048123091
PermanentMagnetFluxLinkageNoLoadAvg_mWb,0.342771075049997
TotalMachineCost_USD,
RotationalFrequencyElec_Hz,541.6666666666666
RotationalFrequencyMech_Hz,41.666666666666664
ShortCircuitPeakTorque_Nm,2.8429278509983047
ShortCircuitPeakId_A,704.3686189792253
ShortCircuitPeakIq_A,434.03839487866617
ShortCircuitAvgId_A,-397.3371909550945
ShortCircuitAvgIq_A,-51.215025350577996
ShortCircuitAvgIActive_A,400.62429543946666
ShortCircuitRmsIa_Arms,283.01491892199107
ShortCircuitRmsIb_Arms,283.3642206784872
ShortCircuitRmsIc_Arms,283.4731263160234
ShortCircuitDemagId_A,-704.3686189792253
ShortCircuitDemagIq_A,-115.17181243546759
ShortCircuitDemagIActive_A,713.7224234829473
ShortCircuitDemagIActiveDensityRMS_A_per_m2,43158461.862655826
ShortCircuitDemagThetaE_deg,99.28629674252997
ASCAverageTorque_Nm,
ASCAverageLoadedFluxLinkageD_Wb,
ASCAverageLoadedFluxLinkageQ_Wb,
ASCTorqueReduction_Percent,
ASCLoadedFluxLinkageDReduction_Percent,
ASCLoadedFluxLinkageQReduction_Percent,
ASCAirgapAxialForceAverage_N,
ASCMagnetAxialForcePositiveMaximum_N,
ASCMagnetAxialForcePositiveMinimum_N,
ASCMagnetAxialForceNegativeMaximum_N,
ASCMagnetAxialForceNegativeMinimum_N,
ASCMagnetRadialForcePositiveMaximum_N,
ASCMagnetRadialForceNegativeMaximum_N,
ASCMagnetTangentialForceMaximum_N,
